from,to,year,relationship,sector,channel,id,season
rm,TikTok,zweineunzehn,influencer,socialmedia,,rm,
rm,TikTok,zweizwanzig,influencer,socialmedia,,rm,
rm,TikTok,zweieinundzwanzig,influencer,socialmedia,,rm,
rm,TikTok,zweizweiundzwanzig,influencer,socialmedia,,rm,
sg,TikTok,zweizweiundzwanzig,influencer,socialmedia,,sg,
sg,TikTok,zweieinundzwanzig,influencer,socialmedia,,sg,
sg,TikTok,zweizwanzig,influencer,socialmedia,,sg,
so,TikTok,zweieinundzwanzig,influencer,socialmedia,,so,sechszehn
so,TikTok,zweizweiundzwanzig,influencer,socialmedia,,so,sechszehn
sp,TikTok,zweizwanzig,influencer,socialmedia,,sp,
sp,TikTok,zweieinundzwanzig,influencer,socialmedia,,sp,
sp,TikTok,zweizweiundzwanzig,influencer,socialmedia,,sp,
tda,TikTok,zweizwanzig,influencer,socialmedia,,tda,
tda,TikTok,zweieinundzwanzig,influencer,socialmedia,,tda,
tda,TikTok,zweizweiundzwanzig,influencer,socialmedia,,tda,
ys,TikTok,zweizwanzig,influencer,socialmedia,,ys,eins
ys,TikTok,zweieinundzwanzig,influencer,socialmedia,,ys,eins
ys,TikTok,zweizweiundzwanzig,influencer,socialmedia,,ys,eins
le,tinamyake,,model,modeling,,le,
it,toga,zweineunzehn,model,fashion,,it,
HN,tommyhilfiger,,ambassador,advertisement,,HN,
SH,triumphlingerie,zweizwanzig,model,modeling,,SH,
SH,tuccilookbook,zweiachtzehn,model,modeling,,SH,
as,tush,zweizweiundzwanzig,model,modeling,,as,
sg,tush,zweiachtzehn,model,modeling,,sg,
jh,Twitch,,host,gaming,,jh,
ak,twofliesmanagement,zweizwoelf,contract,modeling,,ak,
as,twomanagement,zweizwanzig,contract,agency,,as,
as,twomanagement,zweieinundzwanzig,contract,agency,,as,
as,twomanagement,zweizweiundzwanzig,contract,agency,,as,
aa,uniqlocore,zweivierzehn,model,advertisement,,aa,
HN,unrathundstrano,,model,modeling,,HN,
rm,unsereZeitistjetzt,zweisechszehn,actor,movie,,rm,
HN,valisere,,ambassador,advertisement,,HN,
SAH,Veranstaltungskauffrau,,trainee,event,,SAH,
ys,verboteneliebe,zweidreizehn,actor,tvshow,ARD,ys,eins
aa,veronicabeard,zweineunzehn,model,advertisement,,aa,
jwr,veto,zweizweiundzwanzig,ambassador,charity,,jwr,
mn,vierfete,zweieinundzwanzig,host,podcast,,mn,
jb,viewmanagement,zweizwoelf,contract,modeling,,jb,
aa,vogue,zweidreizehn,model,modeling,,aa,
sg,vogue,zweisiebzehn,model,modeling,,sg,
lg,voiceofgermany,zweifuenfzehn,host,tvshow,Pro7,lg,eins
lg,voiceofgermany,zweisechszehn,host,tvshow,Pro7,lg,eins
lg,voiceofgermany,zweisiebzehn,host,tvshow,Pro7,lg,eins
lg,voiceofgermany,zweiachtzehn,host,tvshow,Pro7,lg,eins
lg,voiceofgermany,zweineunzehn,host,tvshow,Pro7,lg,eins
lg,voiceofgermany,zweizwanzig,host,tvshow,Pro7,lg,eins
lg,voiceofgermany,zweieinundzwanzig,host,tvshow,Pro7,lg,eins
jds,volkswagen,,model,advertisement,,jds,
LH,weidner,zweizwoelf,love,,,LH,
LH,weidner,zweidreizehn,love,,,LH,
LH,weidner,zweivierzehn,love,,,LH,
LH,weidner,zweifuenfzehn,love,,,LH,
LH,weidner,zweisechszehn,love,,,LH,
LH,weidner,zweisiebzehn,love,,,LH,
LH,weidner,zweiachtzehn,love,,,LH,
AW,welovewinterkampagne,zweisieben,model,advertisement,Pro7,AW,
ec,werweissdennsowas,zweisiebzehn,candidate,tvshow,ARD,ec,
le,werweissdennsowas,zweisiebzehn,candidate,tvshow,ARD,le,
rm,werweissdennsowas,zweisechszehn,candidate,tvshow,ARD,rm,
tda,werweissdennsowas,zweineunzehn,candidate,tvshow,ARD,tda,
BM,wiegenlied,zweizwoelf,actor,movie,,BM,
tda,wincentweiss,zweiachtzehn,actor,musicvideo,,tda,
lg,windowslive,zweisechs,ambassador,advertisement,,lg,eins
sg,wmhealth,zweisechszehn,model,modeling,,sg,
sn,wmhealth,zweineunzehn,model,modeling,,sn,
BM,wolkeuntermdach,zweizweiundzwanzig,actor,movie,,BM,
kh,womenforwomen,zweizwanzig,ambassador,event,,kh,
kh,womenforwomen,zweieinundzwanzig,ambassador,event,,kh,
kh,womenforwomen,zweizweiundzwanzig,ambassador,event,,kh,
so,womenmilano,zweieinundzwanzig,contract,modeling,,so,sechszehn
so,womenmilano,zweizweiundzwanzig,contract,modeling,,so,sechszehn
ec,wuff,zweiachtzehn,actor,movie,,ec,
sg,wuff,zweiachtzehn,actor,movie,,sg,
BM,wwf,zweifuenfzehn,ambassador,advertisement,,BM,
BM,yogurette,zweiacht,ambassador,advertisement,,BM,
mn,yogurette,zweifuenfzehn,ambassador,advertisement,,mn,
CB,yohjiyamamoto,,model,modeling,,CB,
le,youandi,zweidreizehn,model,modeling,,le,
BM,yulimodels,,contract,modeling,,BM,
AW,zahntechnikerin,zweidreizehn,employee,medicin,,AW,
dc,zalando,zweieinundzwanzig,model,modeling,,dc,sechszehn
LH,zalando,zweidreizehn,ambassador,advertisement,,LH,
tda,zalando,,model,modeling,,tda,
aa,zanabayne,zweivierzehn,model,modeling,,aa,
