from,to,year,relationship,sector,channel
BM,Instagram,zweieinundzwanzig,influencer,socialmedia,
BM,Instagram,zweizweiundzwanzig,influencer,socialmedia,
CB,Instagram,zweisiebzehn,influencer,socialmedia,
CB,Instagram,zweiachtzehn,influencer,socialmedia,
CB,Instagram,zweineunzehn,influencer,socialmedia,
CB,Instagram,zweizwanzig,influencer,socialmedia,
CB,Instagram,zweieinundzwanzig,influencer,socialmedia,
CB,Instagram,zweizweiundzwanzig,influencer,socialmedia,
cz,Instagram,zweizweiundzwanzig,influencer,socialmedia,
cz,Instagram,zweineunzehn,influencer,socialmedia,
cz,Instagram,zweizwanzig,influencer,socialmedia,
cz,Instagram,zweieinundzwanzig,influencer,socialmedia,
dc,Instagram,zweieinundzwanzig,influencer,socialmedia,
dc,Instagram,zweizweiundzwanzig,influencer,socialmedia,
ec,Instagram,zweisechszehn,influencer,socialmedia,
ec,Instagram,zweisiebzehn,influencer,socialmedia,
ec,Instagram,zweiachtzehn,influencer,socialmedia,
ec,Instagram,zweineunzehn,influencer,socialmedia,
ec,Instagram,zweizwanzig,influencer,socialmedia,
ec,Instagram,zweieinundzwanzig,influencer,socialmedia,
ec,Instagram,zweizweiundzwanzig,influencer,socialmedia,
fh,Instagram,zweisechszehn,influencer,socialmedia,
fh,Instagram,zweisiebzehn,influencer,socialmedia,
fh,Instagram,zweiachtzehn,influencer,socialmedia,
fh,Instagram,zweineunzehn,influencer,socialmedia,
fh,Instagram,zweizwanzig,influencer,socialmedia,
fh,Instagram,zweieinundzwanzig,influencer,socialmedia,
fh,Instagram,zweizweiundzwanzig,influencer,socialmedia,
HN,Instagram,zweifuenfzehn,influencer,socialmedia,
HN,Instagram,zweisechszehn,influencer,socialmedia,
HN,Instagram,zweisiebzehn,influencer,socialmedia,
HN,Instagram,zweiachtzehn,influencer,socialmedia,
HN,Instagram,zweineunzehn,influencer,socialmedia,
HN,Instagram,zweizwanzig,influencer,socialmedia,
HN,Instagram,zweieinundzwanzig,influencer,socialmedia,
HN,Instagram,zweizweiundzwanzig,influencer,socialmedia,
it,Instagram,zweizweiundzwanzig,influencer,advertisement,
it,Instagram,zweizweiundzwanzig,influencer,socialmedia,
jf,Instagram,zweizweiundzwanzig,influencer,socialmedia,
jt,Instagram,zweiachtzehn,influencer,socialmedia,
jt,Instagram,zweineunzehn,influencer,socialmedia,
jt,Instagram,zweizwanzig,influencer,socialmedia,
jt,Instagram,zweieinundzwanzig,influencer,socialmedia,
jt,Instagram,zweizweiundzwanzig,influencer,socialmedia,
jwr,Instagram,zweizwanzig,influencer,socialmedia,
jwr,Instagram,zweieinundzwanzig,influencer,socialmedia,
jwr,Instagram,zweizweiundzwanzig,influencer,socialmedia,
kh,Instagram,zweisechszehn,influencer,socialmedia,
kh,Instagram,zweisiebzehn,influencer,socialmedia,
kh,Instagram,zweiachtzehn,influencer,socialmedia,
kh,Instagram,zweineunzehn,influencer,socialmedia,
kh,Instagram,zweizwanzig,influencer,socialmedia,
kh,Instagram,zweieinundzwanzig,influencer,socialmedia,
kh,Instagram,zweizweiundzwanzig,influencer,socialmedia,
le,Instagram,zweidreizehn,influencer,socialmedia,
le,Instagram,zweivierzehn,influencer,socialmedia,
le,Instagram,zweifuenfzehn,influencer,socialmedia,
le,Instagram,zweisechszehn,influencer,socialmedia,
le,Instagram,zweisiebzehn,influencer,socialmedia,
le,Instagram,zweiachtzehn,influencer,socialmedia,
le,Instagram,zweineunzehn,influencer,socialmedia,
le,Instagram,zweizwanzig,influencer,socialmedia,
le,Instagram,zweieinundzwanzig,influencer,socialmedia,
le,Instagram,zweizweiundzwanzig,influencer,socialmedia,
lg,Instagram,zweizwoelf,influencer,socialmedia,
lg,Instagram,zweidreizehn,influencer,socialmedia,
lg,Instagram,zweivierzehn,influencer,socialmedia,
lg,Instagram,zweifuenfzehn,influencer,socialmedia,
lg,Instagram,zweisechszehn,influencer,socialmedia,
lg,Instagram,zweisiebzehn,influencer,socialmedia,
lg,Instagram,zweiachtzehn,influencer,socialmedia,
lg,Instagram,zweineunzehn,influencer,socialmedia,
lg,Instagram,zweizwanzig,influencer,socialmedia,
lg,Instagram,zweizweiundzwanzig,influencer,socialmedia,
LH,Instagram,zweizwoelf,influencer,socialmedia,
LH,Instagram,zweidreizehn,influencer,socialmedia,
LH,Instagram,zweivierzehn,influencer,socialmedia,
LH,Instagram,zweifuenfzehn,influencer,socialmedia,
LH,Instagram,zweisechszehn,influencer,socialmedia,
LH,Instagram,zweisiebzehn,influencer,socialmedia,
LH,Instagram,zweiachtzehn,influencer,socialmedia,
LH,Instagram,zweineunzehn,influencer,socialmedia,
LH,Instagram,zweizwanzig,influencer,socialmedia,
LH,Instagram,zweieinundzwanzig,influencer,socialmedia,
LH,Instagram,zweizweiundzwanzig,influencer,socialmedia,
mb,Instagram,zweizweiundzwanzig,influencer,socialmedia,
mn,Instagram,zweizweiundzwanzig,influencer,socialmedia,
mu,Instagram,zweizwanzig,influencer,socialmedia,
mu,Instagram,zweieinundzwanzig,influencer,socialmedia,
mu,Instagram,zweizweiundzwanzig,influencer,socialmedia,
pr,Instagram,zweiachtzehn,influencer,socialmedia,
pr,Instagram,zweineunzehn,influencer,socialmedia,
pr,Instagram,zweizwanzig,influencer,socialmedia,
pr,Instagram,zweieinundzwanzig,influencer,socialmedia,
pr,Instagram,zweizweiundzwanzig,influencer,socialmedia,
rm,Instagram,zweizwoelf,influencer,socialmedia,
rm,Instagram,zweidreizehn,influencer,socialmedia,
rm,Instagram,zweivierzehn,influencer,socialmedia,
rm,Instagram,zweifuenfzehn,influencer,socialmedia,
rm,Instagram,zweisechszehn,influencer,socialmedia,
rm,Instagram,zweisiebzehn,influencer,socialmedia,
rm,Instagram,zweiachtzehn,influencer,socialmedia,
rm,Instagram,zweineunzehn,influencer,socialmedia,
rm,Instagram,zweizwanzig,influencer,socialmedia,
rm,Instagram,zweieinundzwanzig,influencer,socialmedia,
rm,Instagram,zweizweiundzwanzig,influencer,socialmedia,
sg,Instagram,zweizweiundzwanzig,influencer,socialmedia,
SH,Instagram,zweisiebzehn,influencer,socialmedia,
SH,Instagram,zweiachtzehn,influencer,socialmedia,
SH,Instagram,zweineunzehn,influencer,socialmedia,
SH,Instagram,zweizwanzig,influencer,socialmedia,
SH,Instagram,zweieinundzwanzig,influencer,socialmedia,
SH,Instagram,zweizweiundzwanzig,influencer,socialmedia,
sk,Instagram,zweizweiundzwanzig,influencer,socialmedia,
sn,Instagram,zweizweiundzwanzig,influencer,socialmedia,
so,Instagram,zweieinundzwanzig,influencer,socialmedia,
so,Instagram,zweizweiundzwanzig,influencer,socialmedia,
sp,Instagram,zweizwanzig,influencer,socialmedia,
sp,Instagram,zweieinundzwanzig,influencer,socialmedia,
sp,Instagram,zweizweiundzwanzig,influencer,socialmedia,
sr,Instagram,zweizweiundzwanzig,influencer,socialmedia,
tda,Instagram,zweiachtzehn,influencer,socialmedia,
tda,Instagram,zweineunzehn,influencer,socialmedia,
tda,Instagram,zweizwanzig,influencer,socialmedia,
tda,Instagram,zweieinundzwanzig,influencer,socialmedia,
tda,Instagram,zweizweiundzwanzig,influencer,socialmedia,
vf,Instagram,zweifuenfzehn,influencer,socialmedia,
vf,Instagram,zweisechszehn,influencer,socialmedia,
vf,Instagram,zweisiebzehn,influencer,socialmedia,
vf,Instagram,zweiachtzehn,influencer,socialmedia,
vf,Instagram,zweineunzehn,influencer,socialmedia,
vf,Instagram,zweizwanzig,influencer,socialmedia,
vf,Instagram,zweizwoelf,influencer,socialmedia,
vf,Instagram,zweizweiundzwanzig,influencer,socialmedia,
ys,Instagram,zweizwoelf,influencer,socialmedia,
ys,Instagram,zweidreizehn,influencer,socialmedia,
ys,Instagram,zweivierzehn,influencer,socialmedia,
ys,Instagram,zweifuenfzehn,influencer,socialmedia,
ys,Instagram,zweisechszehn,influencer,socialmedia,
ys,Instagram,zweisiebzehn,influencer,socialmedia,
ys,Instagram,zweiachtzehn,influencer,socialmedia,
ys,Instagram,zweineunzehn,influencer,socialmedia,
ys,Instagram,zweizwanzig,influencer,socialmedia,
ys,Instagram,zweizweiundzwanzig,influencer,socialmedia,
BM,instyle,zweizehn,model,modeling,
jb,instyle,zweizwoelf,model,modeling,
mn,instyle,zweisiebzehn,model,modeling,
sg,instyle,zweineunzehn,model,modeling,
HN,isadoramascara,,ambassador,advertisement,
vf,issue,zweizwanzig,model,modeling,
HN,Ittakestwo,zweisiebzehn,candidate,tvshow,RTL
BM,jahrdermathematik,zweiacht,ambassador,advertisement,
ak,jeansblessedandcursed,zweielf,model,modeling,
jh,jennykl,zweiacht,founder,fashion,
kh,jerks,zweisiebzehn,actor,movie,joyn
tda,jokoundklaas,zweineunzehn,candidate,tvshow,Pro7
aa,josienatori,zweifuenfzehn,model,modeling,
tda,jugendgottesdienst,,job,church,
AW,julesmumm,zweisieben,model,advertisement,
rm,jungegegenMaedchen,zweifuenfzehn,candidate,tvshow,RTL
it,kalissivienna,zweineunzehn,model,fashion,
vf,karinmodels,zweizwanzig,contract,modeling,
vf,karinmodels,zweieinundzwanzig,contract,modeling,
vf,karinmodels,zweizweiundzwanzig,contract,modeling,
AW,karllagerfeld,,model,modeling,
sk,karllagerfeld,zweizweiundzwanzig,model,advertisement,
HN,karstadt,,ambassador,advertisement,
lg,katjes,zweiacht,ambassador,advertisement,
kh,keen,zweisechszehn,love,,
kh,keen,zweisiebzehn,love,,
jwr,kerastase,zweizweiundzwanzig,model,advertisement,
lg,khan,zweisechs,love,,
lg,khan,zweisieben,love,,
lg,khan,zweiacht,love,,
